Type,Var,Table,Plot
strong,var1,table1.png,plot1.png
strong,var2,table2.png,plot2.png
strong,var3,table3.png,plot3.png
strong,var4,table4.png,plot4.png
strong,var5,table5.png,plot5.png
strong,var6,table6.png,plot6.png
strong,var7,table7.png,plot7.png
strong,var8,table8.png,plot8.png
moderate,var9,table.9.png,plot9.png
moderate,var10,table10.png,plot10.png
moderate,var11,table11.png,plot11.png
moderate,var12,table12.png,plot12.png
moderate,var13,table13.png,plot13.png
moderate,var14,table14.png,plot14.png
moderate,var15,table15.png,plot15.png
moderate,var16,table16.png,plot16.png
insignificant,var17,table17.png,plot17.png
insignificant,var18,table18.png,plot18.png
insignificant,var19,table19.png,plot19.png
insignificant,var20,table20.png,plot20.png
insignificant,var21,table21.png,plot21.png
insignificant,var22,table22.png,plot22.png
insignificant,var23,table23.png,plot23.png
insignificant,var24,table24.png,plot24.png
